"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"Alaska","722511","Full-service restaurants","Corporations","All establishments","2016","48","1,189","6,819","30,317"
"Alaska","722511","Full-service restaurants","Partnerships","All establishments","2016","127","2,047","10,872","51,256"
"Alaska","722511","Full-service restaurants","S-corporations","All establishments","2016","252","4,720","25,760","124,710"
"Alaska","722511","Full-service restaurants","All establishments","All establishments","2016","578","8,972","48,403","230,075"
"Alaska","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","151","1,016","4,952","23,792"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","211","297","1,377","19,306"
"Alaska","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","15","24","134","2,288"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","60","83","416","8,773"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","84","131","602","4,500"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","52","59","225","3,745"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","53","383","2,030","9,629"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","35","230","928","4,549"
"Alaska","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","5","37","134","613"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","24","165","740","3,351"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","117","815","3,832","18,142"
"Alaska","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","10","143","673","2,637"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","108","1,553","7,832","34,504"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","19","309","1,499","7,111"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","21","285","1,439","5,929"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","58","816","4,221","18,827"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","10","297","1,479","6,632"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","62","1,842","10,012","47,607"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","21","632","3,584","16,409"
"Alaska","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","9","275","1,523","6,790"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","102","3,046","16,598","77,438"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","14","919","4,929","21,490"
"Alaska","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","9","710","4,355","17,989"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","33","2,302","12,914","54,934"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","9","600","3,126","13,273"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","1","20 to 99 employees","D","D"
"Alaska","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","6","723","4,373","19,004"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","4","441","2,675","11,637"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","2","250 to 499 employees","D","D"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","1","100 to 249 employees","D","D"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","1","100 to 249 employees","D","D"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","S-corporations","All establishments","2016","1,562","34,857","155,808","636,104"
"Arizona","722511","Full-service restaurants","Non-profit","All establishments","2016","3","33","120","505"
"Arizona","722511","Full-service restaurants","Corporations","All establishments","2016","678","31,402","156,717","610,743"
"Arizona","722511","Full-service restaurants","All establishments","All establishments","2016","4,157","108,785","499,138","2,007,046"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","5","20 to 99 employees","D","D"
"Arizona","722511","Full-service restaurants","Partnerships","All establishments","2016","1,317","33,773","148,528","611,679"
"Arizona","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","592","8,636","37,708","146,925"
"Arizona","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Arizona","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","94","145","788","7,872"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","308","367","1,387","30,369"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","234","391","1,369","11,106"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","915","1,363","5,571","67,906"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","278","460","2,027","18,526"
"Arizona","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","36","225","839","3,401"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","271","1,865","8,112","32,968"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","142","972","3,178","12,756"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","148","1,021","3,957","16,354"
"Arizona","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","599","4,097","16,152","65,722"
"Arizona","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","390","5,518","23,339","94,690"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","216","3,076","11,711","47,626"
"Arizona","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","81","1,149","4,386","17,873"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","95","1,216","3,841","14,910"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","783","10,976","43,321","175,291"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","1","0 to 19 employees","D","D"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","463","14,158","60,507","241,874"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","1,122","36,191","155,822","616,465"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","399","13,115","56,719","222,701"
"Arizona","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","1","20 to 99 employees","D","D"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","75","2,324","8,789","34,832"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","3","20 to 99 employees","D","D"
"Arizona","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","181","6,508","29,540","115,931"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","233","14,385","66,012","259,726"
"Arizona","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","631","41,364","201,423","786,251"
"Arizona","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","226","15,327","79,156","303,775"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","40","2,776","12,654","46,584"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","132","8,876","43,601","176,166"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","6","957","7,877","26,737"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","25","3,116","14,006","55,330"
"Arizona","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","58","7,457","39,448","151,348"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","12","1,516","7,933","30,989"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","101","13,046","69,264","264,404"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","6","1,748","7,585","31,007"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Arizona","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","2","500 to 999 employees","D","D"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","3","864","4,216","16,550"
"Arizona","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Arizona","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
