"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2022","2,033","6,907,235","1,626,341","270,259"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2022","47","532,875","120,637","15,836"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2022","4","145,459","29,255","2,287"
"United States","722511","Full-service restaurants","S-corporations","All establishments","2022","113,840","58,206,907","12,892,880","2,137,923"
"United States","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2022","24,801","2,580,612","293,219","43,616"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2022","20,821","3,799,156","870,325","142,919"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2022","28,998","10,595,324","2,416,147","404,388"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2022","31,187","24,610,045","5,556,602","939,984"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2022","6,776","11,832,248","2,650,878","436,392"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2022","1,236","4,571,069","1,056,601","163,349"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2022","18","178,753","39,813","5,336"
"United States","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2022","3","39,700","9,295","1,939"
"United States","722511","Full-service restaurants","Individual proprietorships","All establishments","2022","33,364","8,684,574","1,869,867","385,634"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2022","14,602","853,813","109,509","24,228"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2022","7,136","899,920","207,393","47,706"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2022","5,322","1,441,399","332,436","72,090"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2022","5,045","3,049,269","695,102","146,402"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2022","1,141","1,755,818","384,763","74,561"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2022","112","508,334","106,757","15,459"
"United States","722511","Full-service restaurants","Partnerships","All establishments","2022","58,350","36,697,567","7,897,756","1,288,648"
"United States","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2022","15,603","1,831,625","116,343","19,991"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2022","8,225","1,384,248","295,911","56,005"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2022","11,332","3,851,345","864,371","159,072"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2022","16,101","13,337,532","2,976,579","506,799"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2022","6,001","11,330,234","2,538,801","395,511"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2022","1,057","4,547,538","1,011,086","139,075"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2022","29","328,845","76,963","9,056"
"United States","722511","Full-service restaurants","Non-profit","All establishments","2022","215","67,651","13,674","2,758"
"United States","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2022","86","8,457","892","149"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2022","40","5,093","1,064","283"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2022","43","11,561","2,546","622"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2022","38","27,652","6,244","1,109"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2022","7","11,553","2,418","500"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2022","178","118,429","26,974","4,623"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2022","42","3,830","533","51"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2022","12","3,483","811","98"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2022","41","12,787","3,304","598"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2022","55","32,005","7,919","1,672"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2022","23","46,610","10,515","1,617"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2022","5","19,714","3,892","587"
"Alabama","722511","Full-service restaurants","All establishments","All establishments","2022","2,852","1,396,401","321,459","63,198"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2022","614","53,101","5,711","980"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2022","418","60,940","14,528","2,889"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2022","641","204,521","49,121","9,336"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2022","855","541,004","126,077","25,416"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2022","270","396,438","93,132","17,858"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2022","54","140,397","32,890","6,719"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2022","604","438,600","103,882","19,885"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2022","77","6,310","784","121"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2022","58","9,493","2,241","398"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2022","135","54,296","12,887","2,210"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2022","191","117,660","27,293","5,550"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2022","110","167,827","40,677","7,599"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2022","33","83,014","20,000","4,007"
"Alabama","722511","Full-service restaurants","S-corporations","All establishments","2022","1,069","504,946","116,140","21,231"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2022","189","17,706","2,389","316"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2022","183","29,472","7,163","1,278"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2022","288","94,173","22,395","4,072"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2022","334","236,738","54,707","10,135"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2022","62","93,089","21,786","3,900"
"Alabama","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2022","13","33,768","7,700","1,530"
"Alabama","722511","Full-service restaurants","Individual proprietorships","All establishments","2022","499","114,590","25,335","6,246"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2022","191","12,535","1,215","314"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2022","90","9,869","2,333","597"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2022","71","16,616","4,077","1,010"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2022","136","62,703","14,844","3,611"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2022","11","12,867","2,866","714"
"Alabama","722511","Full-service restaurants","Partnerships","All establishments","2022","660","335,741","75,099","15,448"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2022","156","16,473","1,299","227"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2022","84","11,796","2,715","593"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2022","142","38,923","9,499","1,955"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2022","183","122,279","28,593","5,846"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2022","87","122,655","27,803","5,645"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2022","8","23,615","5,190","1,182"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2022","18","2,244","949","372"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2022","5","513","263","89"
"Alabama","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2022","11","1,624","640","274"
"Alaska","722511","Full-service restaurants","All establishments","All establishments","2022","538","268,374","53,079","7,868"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2022","196","27,627","1,919","290"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2022","98","22,963","4,624","672"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2022","118","49,768","11,211","1,694"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2022","99","94,990","20,203","2,957"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2022","22","45,345","9,724","1,533"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2022","5","27,681","5,398","722"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2022","40","24,780","5,250","763"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2022","15","1,764","77","15"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2022","5","1,826","217","31"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2022","9","3,144","834","131"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2022","6","6,708","1,788","196"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2022","5","11,338","2,334","390"
"Alaska","722511","Full-service restaurants","S-corporations","All establishments","2022","269","171,798","34,314","5,007"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2022","59","13,987","900","104"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2022","51","11,708","2,667","366"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2022","78","33,741","7,487","1,092"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2022","63","61,917","12,742","1,894"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2022","14","27,622","6,064","925"
"Alaska","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2022","4","22,823","4,454","626"
"Alaska","722511","Full-service restaurants","Individual proprietorships","All establishments","2022","109","18,231","3,552","610"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2022","69","4,992","604","115"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2022","19","3,303","668","119"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2022","15","5,377","1,294","226"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2022","6","4,559","986","150"
"Alaska","722511","Full-service restaurants","Partnerships","All establishments","2022","119","53,331","9,906","1,472"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2022","53","6,884","338","56"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2022","23","6,126","1,072","156"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2022","15","7,272","1,539","229"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2022","24","21,806","4,687","717"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2022","3","6,385","1,326","218"
"Arizona","722511","Full-service restaurants","All establishments","All establishments","2022","4,458","3,162,897","768,305","115,127"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2022","868","84,013","8,779","1,305"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2022","676","123,504","30,136","4,624"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2022","938","344,336","84,081","13,125"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2022","1,310","1,110,107","273,011","41,316"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2022","530","940,834","231,307","34,941"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2022","134","537,458","134,850","18,771"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2022","744","960,743","238,468","34,873"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2022","80","11,650","1,319","115"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2022","49","14,347","3,828","336"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2022","112","55,978","14,336","1,629"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2022","217","202,702","50,343","7,432"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2022","215","383,566","94,424","14,575"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2022","70","279,900","70,901","10,376"
"Arizona","722511","Full-service restaurants","S-corporations","All establishments","2022","1,906","1,094,782","263,665","39,220"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2022","332","32,452","4,322","619"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2022","378","71,046","17,362","2,588"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2022","475","174,727","42,570","6,603"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2022","562","456,975","112,353","17,153"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2022","124","216,887","52,176","7,754"
"Arizona","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2022","35","142,695","34,882","4,503"
"Arizona","722511","Full-service restaurants","Individual proprietorships","All establishments","2022","500","187,899","43,605","7,918"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2022","184","11,835","1,432","287"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2022","102","15,198","3,733","715"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2022","92","25,935","6,323","1,253"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2022","90","69,986","16,797","2,787"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2022","30","50,394","12,306","2,139"
"Arizona","722511","Full-service restaurants","Partnerships","All establishments","2022","1,301","913,892","221,411","32,906"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2022","270","27,830","1,696","282"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2022","146","22,720","5,168","978"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2022","259","87,696","20,852","3,640"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2022","440","379,551","93,313","13,913"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2022","158","285,738","71,505","10,303"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2022","28","110,357","28,877","3,790"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2022","6","5,538","1,146","208"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2022","3","4,249","896","170"
"Arkansas","722511","Full-service restaurants","All establishments","All establishments","2022","2,033","824,525","183,297","37,795"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2022","491","35,917","3,824","726"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2022","368","54,485","12,507","2,565"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2022","469","136,468","31,579","6,642"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2022","546","335,559","75,404","15,905"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2022","136","200,878","45,803","9,030"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2022","22","55,492","12,736","2,629"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2022","351","209,966","47,530","9,441"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2022","71","6,631","715","115"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2022","56","8,537","1,845","366"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2022","65","21,761","5,038","995"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2022","94","65,361","14,387","2,885"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2022","56","88,152","20,979","4,057"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2022","9","19,524","4,566","1,023"
"Arkansas","722511","Full-service restaurants","S-corporations","All establishments","2022","926","372,848","83,471","16,534"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2022","148","11,371","1,450","236"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2022","180","30,279","6,938","1,283"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2022","277","84,918","19,637","3,889"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2022","283","180,864","40,422","8,312"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2022","30","40,368","9,210","1,771"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2022","8","25,048","5,814","1,043"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","All establishments","2022","352","66,371","14,866","4,063"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2022","138","5,478","836","219"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2022","69","7,047","1,734","459"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2022","55","12,450","2,906","793"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2022","79","28,889","6,885","1,934"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2022","11","12,507","2,505","658"
"Arkansas","722511","Full-service restaurants","Partnerships","All establishments","2022","398","170,942","36,555","7,624"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2022","133","12,407","823","156"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2022","63","8,622","1,990","457"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2022","69","16,515","3,806","924"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2022","89","59,579","13,487","2,738"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2022","38","57,173","12,649","2,488"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2022","5","10,920","2,356","563"
"Arkansas","722511","Full-service restaurants","Non-profit","All establishments","2022","4","3,947","773","121"
"California","722511","Full-service restaurants","All establishments","All establishments","2022","31,374","19,412,264","4,338,653","614,906"
"California","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2022","7,985","788,612","89,357","13,328"
"California","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2022","5,887","1,113,553","258,941","40,163"
"California","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2022","7,380","2,993,460","693,766","102,034"
"California","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2022","7,219","6,787,338","1,551,886","219,506"
"California","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2022","2,329","4,997,362","1,122,609","155,669"
"California","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2022","553","2,520,686","574,032","77,721"
"California","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2022","21","211,253","48,062","6,485"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2022","6,198","5,233,196","1,187,973","170,401"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2022","1,447","152,954","16,963","2,221"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2022","1,020","197,098","46,382","6,841"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2022","1,289","558,846","128,059","18,045"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2022","1,377","1,371,165","314,605","43,143"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2022","749","1,540,111","350,694","52,023"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2022","306","1,306,222","306,689","44,708"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2022","10","106,800","24,581","3,420"
"California","722511","Full-service restaurants","S-corporations","All establishments","2022","14,630","8,266,469","1,858,717","261,105"
"California","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2022","2,949","324,727","36,878","4,973"
"California","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2022","2,832","564,759","133,865","19,487"
"California","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2022","4,127","1,724,639","400,558","57,117"
"California","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2022","3,808","3,486,503","802,091","113,506"
"California","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2022","817","1,728,925","389,291","53,139"
"California","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2022","92","393,344","86,898","11,516"
"California","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2022","5","43,572","9,136","1,367"
"California","722511","Full-service restaurants","Individual proprietorships","All establishments","2022","4,769","1,103,603","244,686","41,433"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2022","2,241","138,046","23,122","4,295"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2022","1,221","189,934","44,028","8,195"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2022","837","267,326","64,434","11,191"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2022","386","292,045","66,822","10,826"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2022","72","140,692","29,963","4,936"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2022","11","71,153","14,570","1,712"
"California","722511","Full-service restaurants","Partnerships","All establishments","2022","5,749","4,800,357","1,045,207","141,689"
"California","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2022","1,335","172,362","12,279","1,821"
"California","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2022","810","160,918","34,485","5,609"
"California","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2022","1,121","440,532","100,304","15,595"
"California","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2022","1,643","1,632,470","367,005","51,888"
"California","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2022","691","1,587,634","352,661","45,571"
"California","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2022","144","749,967","165,875","19,785"
"California","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2022","5","56,474","12,598","1,420"
"California","722511","Full-service restaurants","Non-profit","All establishments","2022","20","7,420","1,831","240"
