"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","7,858","10,095,614","2,448,483","510,336"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","1,610","1,895,794","467,188","112,205"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","7,391","9,866,136","2,435,950","489,044"
"United States","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2017","10","10,730","2,683","636"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2017","59","99,175","23,723","4,263"
"United States","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","5,170","14,476,442","3,496,591","671,443"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","2,463","6,695,495","1,622,387","319,229"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","1,304","3,522,628","854,401","168,752"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","202","506,013","125,335","25,713"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","1,194","3,726,406","888,024","156,909"
"United States","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2017","6","16,316","4,180","694"
"United States","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2017","159","1,135,089","287,210","50,460"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2017","74","492,409","123,362","24,049"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 250 to 499 employees","2017","28","214,309","53,480","8,816"
"United States","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2017","10","74,167","19,773","2,975"
"United States","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2017","47","354,204","90,595","14,620"
"United States","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2017","13","157,909","40,117","7,964"
"United States","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2017","6","69,000","18,363","3,500"
"United States","722511","Full-service restaurants","S-corporations ","Establishments with 500 to 999 employees","2017","4","37,332","8,646","2,187"
"United States","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2017","6","165,946","40,256","7,907"
"Alabama","722511","Full-service restaurants","All establishments","All establishments","2017","2,858","1,066,537","254,244","66,058"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","692","405,338","98,866","25,468"
"Alabama","722511","Full-service restaurants","S-corporations ","All establishments","2017","984","352,278","82,010","20,445"
"Alabama","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","495","69,889","16,576","4,969"
"Alabama","722511","Full-service restaurants","Partnerships","All establishments","2017","685","235,715","56,027","15,041"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","676","37,501","4,332","1,089"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","86","5,038","814","151"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","173","14,323","1,333","274"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","257","7,804","1,382","440"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","160","10,336","803","224"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","480","49,995","11,930","3,351"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","56","6,231","1,562","401"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","183","22,273","5,251","1,281"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","109","9,251","2,203","725"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","132","12,240","2,914","944"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","562","122,834","29,958","8,069"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","128","29,653","7,098","2,026"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","231","54,160","13,202","3,228"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","67","11,190","2,715","919"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","136","27,831","6,943","1,896"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","744","357,232","87,113","23,505"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","226","98,789","24,672","7,238"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","320","161,265","38,401","9,821"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","37","14,756","3,719","1,109"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","161","82,422","20,321","5,337"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","341","380,604","93,036","23,075"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","154","176,462","43,470","10,483"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","70","83,841","20,117","4,825"
"Alabama","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","24","26,351","6,294","1,675"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","91","90,633","22,390","5,957"
"Alabama","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","55","118,371","27,875","6,969"
"Alabama","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","42","89,165","21,250","5,169"
"Alabama","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","7","16,416","3,706","1,016"
"Alabama","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","5","12,253","2,656","683"
"Alaska","722511","Full-service restaurants","All establishments","All establishments","2017","593","230,107","49,143","8,699"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","58","30,640","6,618","1,112"
"Alaska","722511","Full-service restaurants","S-corporations ","All establishments","2017","261","129,710","27,372","4,810"
"Alaska","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","144","19,962","3,937","843"
"Alaska","722511","Full-service restaurants","Partnerships","All establishments","2017","129","49,687","11,188","1,924"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","225","18,733","1,635","357"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","21","1,755","138","31"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","65","8,307","610","114"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","87","4,782","634","139"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","52","3,889","253","73"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","107","18,872","3,765","757"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","10","3,058","385","72"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","43","7,403","1,550","305"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","30","4,610","878","199"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","23","3,693","924","171"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","123","41,635","8,906","1,717"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","12","4,415","993","162"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","69","24,394","5,162","962"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","18","4,523","1,024","246"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","24","8,303","1,727","347"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","105","79,856","18,414","3,139"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","7","4,977","1,118","196"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","66","49,633","11,069","1,922"
"Alaska","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","9","6,047","1,401","259"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","23","19,199","4,826","762"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","28","49,519","11,738","2,034"
"Alaska","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","8","16,435","3,984","651"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","15","26,098","6,053","1,059"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","5","6,986","1,701","324"
"Alaska","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","5","21,492","4,685","695"
"Alaska","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","3","13,875","2,928","448"
"Arizona","722511","Full-service restaurants","All establishments","All establishments","2017","4,242","2,142,333","541,683","110,848"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","759","684,381","175,260","33,988"
"Arizona","722511","Full-service restaurants","S-corporations ","All establishments","2017","1,694","704,767","177,320","36,648"
"Arizona","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","552","135,707","34,788","7,970"
"Arizona","722511","Full-service restaurants","Partnerships","All establishments","2017","1,227","612,227","153,034","31,955"
"Arizona","722511","Full-service restaurants","Non-profit","All establishments","2017","3","S","S","20 to 99 employees"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2017","7","S","S","250 to 499 employees"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","828","70,334","5,545","1,236"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","67","6,865","401","87"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","288","22,451","2,364","480"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","217","10,100","1,452","359"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","254","30,833","1,319","306"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","617","72,184","18,429","4,284"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","61","6,336","1,666","413"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","288","37,338","9,308","1,998"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","122","12,241","3,102","834"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","144","15,996","4,267","1,024"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","852","212,785","54,654","11,973"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","108","32,867","7,967","1,485"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","432","110,832","28,637","6,076"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","97","17,748","4,660","1,297"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","215","51,338","13,390","3,115"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","1,237","724,187","187,819","39,595"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","221","156,356","40,647","8,076"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","525","290,034","73,787","15,847"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","77","39,428","10,151","2,362"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","410","235,986","62,660","13,186"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2017","3","S","S","100 to 249 employees"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","607","780,394","202,710","40,003"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","241","317,362","83,389","15,829"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","141","185,998","47,922","9,468"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","35","45,480","11,940","2,528"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","188","229,044","58,847","12,034"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","98","267,054","68,040","12,749"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","60","164,104","41,073","7,766"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","19","49,998","12,786","2,389"
"Arizona","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","4","10,710","3,483","590"
"Arizona","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","15","42,242","10,698","2,004"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2017","3","15,395","4,486","1,008"
"Arkansas","722511","Full-service restaurants","All establishments","All establishments","2017","2,036","627,323","149,492","39,073"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","429","193,817","47,219","12,033"
"Arkansas","722511","Full-service restaurants","S-corporations ","All establishments","2017","886","269,363","63,796","16,422"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","370","47,426","10,875","3,540"
"Arkansas","722511","Full-service restaurants","Partnerships","All establishments","2017","341","111,402","26,444","6,861"
"Arkansas","722511","Full-service restaurants","Non-profit","All establishments","2017","9","4,647","994","184"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","500","29,649","2,779","742"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","73","4,307","573","121"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","163","9,659","971","213"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","160","8,035","766","273"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","102","7,485","464","134"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","357","36,373","8,625","2,486"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","50","5,205","1,361","350"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","145","18,130","4,003","1,045"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","103","7,475","1,967","699"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","58","4,862","1,248","387"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","468","92,761","22,984","6,597"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","90","16,937","4,162","1,344"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","246","54,732","13,562","3,421"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","65","9,118","2,245","869"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","65","11,497","2,885","939"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","530","247,279","60,811","16,314"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","141","62,749","15,222","4,416"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","282","134,368","32,947","8,611"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","31","9,869","2,674","876"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","71","36,319","8,991","2,224"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2017","4","3,306","813","154"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","159","175,537","43,021","10,336"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","59","71,078","17,781","3,946"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","46","44,327","10,343","2,670"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","11","12,929","3,223","823"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","43","47,203","11,674","2,897"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","22","45,724","11,272","2,598"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","16","33,541","8,120","1,856"
"Arkansas","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","4","S","S","250 to 499 employees"
"California","722511","Full-service restaurants","All establishments","All establishments","2017","31,173","15,112,700","3,608,414","671,703"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","6,258","4,392,526","1,060,220","192,849"
"California","722511","Full-service restaurants","S-corporations ","All establishments","2017","12,624","5,955,329","1,414,306","261,209"
"California","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","6,350","1,023,786","248,585","55,200"
"California","722511","Full-service restaurants","Partnerships","All establishments","2017","5,920","3,735,563","883,954","162,208"
"California","722511","Full-service restaurants","Non-profit","All establishments","2017","15","4,536","1,107","183"
"California","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2017","6","960","242","54"
"California","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","8,031","571,153","58,042","12,875"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","1,281","101,619","9,845","1,857"
"California","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","2,385","208,672","17,952","3,467"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","2,961","111,495","21,250","5,619"
"California","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","1,394","148,899","8,898","1,914"
"California","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2017","7","336","74","11"
"California","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2017","3","132","23","7"
"California","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","5,510","706,932","171,238","37,689"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","934","131,782","31,712","6,386"
"California","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","2,107","294,102","71,304","14,620"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","1,639","174,183","43,272","10,950"
"California","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","827","106,524","24,861","5,710"
"California","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","6,747","1,897,564","469,188","93,664"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","1,242","373,364","92,135","17,382"
"California","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","3,292","981,717","241,505","46,249"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","1,160","263,511","66,765","15,403"
"California","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","1,051","278,348","68,638","14,604"
"California","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","7,223","4,980,004","1,220,737","225,959"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","1,508","1,090,078","273,056","48,994"
"California","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","3,735","2,562,169","620,631","115,010"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","475","245,859","61,411","13,210"
"California","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","1,499","1,077,835","264,621","48,575"
"California","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2017","5","3,432","852","137"
"California","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","2,935","4,452,004","1,089,458","196,260"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","936","1,459,090","358,278","64,917"
"California","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","962","1,415,248","343,453","61,803"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","94","153,591","37,618","7,009"
"California","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","943","1,424,075","350,109","62,531"
"California","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","701","2,302,305","549,906","94,826"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","345","1,135,839","270,052","48,226"
"California","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","137","444,157","108,201","17,314"
"California","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","19","64,765","15,743","2,471"
